# Crime-mix calibration for the background corpus (SEED_RUNBOOK.md §6.3).
# Weights below are analyst-specified for this seeding effort only — they
# are NOT derived from NCRB or any published crime statistics and must
# never be presented as such in code, UI, or docs. They encode two rough
# profiles (urban/commissionerate units weighted toward property, vehicle,
# cheating/cyber, and chain-snatching crime; rural/mixed units weighted
# toward public order, assault, and property/house-breaking offences) with
# severity_level 5 (heinous) kept rare (<=3% of weight in every district).
district_id,crime_type_id,weight
BLR,THEFT-GENERAL,16
BLR,THEFT-VEHICLE,14
BLR,THEFT-DWELLING,6
BLR,THEFT-PICKPOCKET,7
BLR,HOUSE-BREAKING,5
BLR,SNATCHING-CHAIN,7
BLR,SNATCHING-GENERAL,5
BLR,ROBBERY,4
BLR,RECEIVING-STOLEN,2
BLR,CHEATING-FRAUD,10
BLR,CYBER-FRAUD,8
BLR,CYBER-IDENTITY-THEFT,3
BLR,FORGERY,2
BLR,HURT-SIMPLE,4
BLR,CRIM-INTIMIDATION,3
BLR,CRIMINAL-TRESPASS,2
BLR,PUBLIC-NUISANCE,1
BLR,EXTORTION,1
BLR,KIDNAPPING,1
BLR,DACOITY,0.5
BLR,MURDER,0.5
MYS,THEFT-GENERAL,16
MYS,THEFT-VEHICLE,13
MYS,THEFT-DWELLING,6
MYS,THEFT-PICKPOCKET,7
MYS,HOUSE-BREAKING,6
MYS,SNATCHING-CHAIN,8
MYS,SNATCHING-GENERAL,5
MYS,ROBBERY,4
MYS,RECEIVING-STOLEN,2
MYS,CHEATING-FRAUD,9
MYS,CYBER-FRAUD,7
MYS,CYBER-IDENTITY-THEFT,3
MYS,FORGERY,2
MYS,HURT-SIMPLE,5
MYS,CRIM-INTIMIDATION,3
MYS,CRIMINAL-TRESPASS,2
MYS,PUBLIC-NUISANCE,1
MYS,EXTORTION,1
MYS,KIDNAPPING,1
MYS,DACOITY,0.5
MYS,MURDER,0.5
HBL,THEFT-GENERAL,15
HBL,THEFT-VEHICLE,13
HBL,THEFT-DWELLING,6
HBL,THEFT-PICKPOCKET,6
HBL,HOUSE-BREAKING,6
HBL,SNATCHING-CHAIN,6
HBL,SNATCHING-GENERAL,5
HBL,ROBBERY,4
HBL,RECEIVING-STOLEN,2
HBL,CHEATING-FRAUD,9
HBL,CYBER-FRAUD,7
HBL,CYBER-IDENTITY-THEFT,3
HBL,FORGERY,2
HBL,HURT-SIMPLE,6
HBL,CRIM-INTIMIDATION,4
HBL,CRIMINAL-TRESPASS,2
HBL,PUBLIC-NUISANCE,2
HBL,EXTORTION,1
HBL,KIDNAPPING,1
HBL,DACOITY,0.5
HBL,MURDER,0.5
MNG,THEFT-GENERAL,14
MNG,THEFT-VEHICLE,12
MNG,THEFT-DWELLING,6
MNG,THEFT-PICKPOCKET,5
MNG,HOUSE-BREAKING,6
MNG,SNATCHING-CHAIN,6
MNG,SNATCHING-GENERAL,4
MNG,ROBBERY,3
MNG,RECEIVING-STOLEN,2
MNG,CHEATING-FRAUD,9
MNG,CYBER-FRAUD,8
MNG,CYBER-IDENTITY-THEFT,3
MNG,FORGERY,2
MNG,HURT-SIMPLE,7
MNG,CRIM-INTIMIDATION,4
MNG,CRIMINAL-TRESPASS,3
MNG,PUBLIC-NUISANCE,2
MNG,EXTORTION,1
MNG,KIDNAPPING,1
MNG,DACOITY,0.5
MNG,MURDER,0.5
MDY,THEFT-GENERAL,10
MDY,THEFT-VEHICLE,6
MDY,THEFT-DWELLING,5
MDY,HOUSE-BREAKING,10
MDY,HOUSE-BREAKING-NIGHT,4
MDY,SNATCHING-GENERAL,3
MDY,ROBBERY,3
MDY,HURT-SIMPLE,10
MDY,HURT-GRIEVOUS,4
MDY,CRIM-INTIMIDATION,6
MDY,CRIMINAL-TRESPASS,6
MDY,RIOTING,3
MDY,MISCHIEF-PROPERTY,5
MDY,PUBLIC-NUISANCE,5
MDY,UNLAWFUL-ASSEMBLY,3
MDY,CHEATING-FRAUD,4
MDY,EXTORTION,2
MDY,KIDNAPPING,1
MDY,DACOITY,0.5
MDY,MURDER,0.5
BGV,THEFT-GENERAL,9
BGV,THEFT-VEHICLE,5
BGV,THEFT-DWELLING,5
BGV,HOUSE-BREAKING,11
BGV,HOUSE-BREAKING-NIGHT,5
BGV,SNATCHING-GENERAL,3
BGV,ROBBERY,3
BGV,HURT-SIMPLE,10
BGV,HURT-GRIEVOUS,5
BGV,CRIM-INTIMIDATION,6
BGV,CRIMINAL-TRESPASS,7
BGV,RIOTING,4
BGV,MISCHIEF-PROPERTY,5
BGV,PUBLIC-NUISANCE,4
BGV,UNLAWFUL-ASSEMBLY,3
BGV,CHEATING-FRAUD,3
BGV,EXTORTION,2
BGV,KIDNAPPING,1
BGV,DACOITY,0.5
BGV,MURDER,0.5
TMK,THEFT-GENERAL,9
TMK,THEFT-VEHICLE,6
TMK,THEFT-DWELLING,5
TMK,HOUSE-BREAKING,10
TMK,HOUSE-BREAKING-NIGHT,4
TMK,SNATCHING-GENERAL,3
TMK,ROBBERY,2
TMK,HURT-SIMPLE,11
TMK,HURT-GRIEVOUS,4
TMK,CRIM-INTIMIDATION,6
TMK,CRIMINAL-TRESPASS,7
TMK,RIOTING,3
TMK,MISCHIEF-PROPERTY,5
TMK,PUBLIC-NUISANCE,5
TMK,UNLAWFUL-ASSEMBLY,3
TMK,CHEATING-FRAUD,4
TMK,EXTORTION,2
TMK,KIDNAPPING,1
TMK,DACOITY,0.5
TMK,MURDER,0.5
KDG,THEFT-GENERAL,8
KDG,THEFT-VEHICLE,4
KDG,THEFT-DWELLING,4
KDG,HOUSE-BREAKING,10
KDG,HOUSE-BREAKING-NIGHT,5
KDG,SNATCHING-GENERAL,2
KDG,ROBBERY,2
KDG,HURT-SIMPLE,12
KDG,HURT-GRIEVOUS,5
KDG,CRIM-INTIMIDATION,6
KDG,CRIMINAL-TRESPASS,8
KDG,RIOTING,3
KDG,MISCHIEF-PROPERTY,6
KDG,PUBLIC-NUISANCE,5
KDG,UNLAWFUL-ASSEMBLY,3
KDG,CHEATING-FRAUD,3
KDG,EXTORTION,2
KDG,KIDNAPPING,1
KDG,DACOITY,0.5
KDG,MURDER,0.5
CKM,THEFT-GENERAL,9
CKM,THEFT-VEHICLE,5
CKM,THEFT-DWELLING,5
CKM,HOUSE-BREAKING,11
CKM,HOUSE-BREAKING-NIGHT,5
CKM,SNATCHING-GENERAL,3
CKM,ROBBERY,3
CKM,HURT-SIMPLE,10
CKM,HURT-GRIEVOUS,5
CKM,CRIM-INTIMIDATION,6
CKM,CRIMINAL-TRESPASS,7
CKM,RIOTING,4
CKM,MISCHIEF-PROPERTY,5
CKM,PUBLIC-NUISANCE,4
CKM,UNLAWFUL-ASSEMBLY,3
CKM,CHEATING-FRAUD,3
CKM,EXTORTION,2
CKM,KIDNAPPING,1
CKM,DACOITY,0.5
CKM,MURDER,0.5
RCH,THEFT-GENERAL,9
RCH,THEFT-VEHICLE,5
RCH,THEFT-DWELLING,5
RCH,HOUSE-BREAKING,10
RCH,HOUSE-BREAKING-NIGHT,4
RCH,SNATCHING-GENERAL,3
RCH,ROBBERY,3
RCH,HURT-SIMPLE,11
RCH,HURT-GRIEVOUS,5
RCH,CRIM-INTIMIDATION,6
RCH,CRIMINAL-TRESPASS,7
RCH,RIOTING,4
RCH,MISCHIEF-PROPERTY,5
RCH,PUBLIC-NUISANCE,4
RCH,UNLAWFUL-ASSEMBLY,3
RCH,CHEATING-FRAUD,4
RCH,EXTORTION,2
RCH,KIDNAPPING,1
RCH,DACOITY,0.5
RCH,MURDER,0.5
