district_id,district_name,district_name_kn,unit_type,division,hq_city,centroid_latitude,centroid_longitude,source_polygon_name,is_active,review_note
BGD,Belagavi District,ಬೆಳಗಾವಿ,District,Belagavi,Belagavi,16.12198,74.823085,Belagavi,False,"range=geographic approximation, not official KSP map; verify"
BGK,Bagalkote,ಬಾಗಲಕೋಟೆ,District,Belagavi,Bagalkote,16.221154,75.624764,Bagalkote,False,"range=geographic approximation, not official KSP map; verify"
VJP,Vijayapura,ವಿಜಯಪುರ,District,Belagavi,Vijayapura,16.795235,75.952678,Vijayapura,False,"range=geographic approximation, not official KSP map; verify"
KLD,Kalaburagi District,ಕಲಬುರಗಿ,District,Northern,Kalaburagi,17.260601,76.868956,Kalaburgi,False,"range=geographic approximation, not official KSP map; verify"
BDR,Bidar,ಬೀದರ,District,Northern,Bidar,17.952439,77.224883,Bidar,False,"range=geographic approximation, not official KSP map; verify"
RCH,Raichur,ರಾಯಚೂರು,District,Ballari,Raichur,16.09106,76.893221,Raichur,True,"range=geographic approximation, not official KSP map; verify"
KPL,Koppal,ಕೊಪ್ಪಳ,District,Ballari,Koppal,15.562138,76.221557,Koppal,False,"range=geographic approximation, not official KSP map; verify"
GDG,Gadag,ಗದಗ,District,Western,Gadag,15.431312,75.665159,Gadag,False,"range=geographic approximation, not official KSP map; verify"
DWD,Dharwad District,ಧಾರವಾಡ,District,Western,Dharwad,15.390151,75.152324,Dharwad,False,"range=geographic approximation, not official KSP map; verify"
UTK,Uttara Kannada,ಉತ್ತರ ಕನ್ನಡ,District,Western,Uttara Kannada,14.792031,74.619302,Uttara Kannada,False,"range=geographic approximation, not official KSP map; verify"
HVR,Haveri,ಹಾವೇರಿ,District,Western,Haveri,14.738949,75.416461,Haveri,False,"range=geographic approximation, not official KSP map; verify"
BLL,Ballari District,ಬಳ್ಳಾರಿ,District,Ballari,Ballari,15.266106,76.808952,Ballari,False,"range=geographic approximation, not official KSP map; verify"
CTD,Chitradurga,ಚಿತ್ರದುರ್ಗ,District,Ballari,Chitradurga,14.16842,76.515117,Chitradurga,False,"range=geographic approximation, not official KSP map; verify"
DVG,Davanagere,ದಾವಣಗೆರೆ,District,Western,Davanagere,14.308657,75.945262,Davanagere,False,"range=geographic approximation, not official KSP map; verify"
SMG,Shivamogga,ಶಿವಮೊಗ್ಗ,District,Western,Shivamogga,14.043367,75.220892,Shivamogga,False,"range=geographic approximation, not official KSP map; verify"
UDP,Udupi,ಉಡುಪಿ,District,Southern,Udupi,13.497684,74.8724,Udupi,False,"range=geographic approximation, not official KSP map; verify"
CKM,Chikkamagaluru,ಚಿಕ್ಕಮಗಳೂರು,District,Southern,Chikkamagaluru,13.454006,75.689774,Chikkamagaluru,True,"range=geographic approximation, not official KSP map; verify"
TMK,Tumakuru,ತುಮಕೂರು,District,Eastern,Tumakuru,13.521573,76.946404,Tumakuru,True,"range=geographic approximation, not official KSP map; verify"
